No,Year,ID,x,y,Binary Code,Binary Code2,Cen,Index,Outlier,Outlier.Log,Outlier.CLR,Outlier.95,D5outliers,g,gptile,gboolean,D5md.cla,D5md.rob,D5chi_rd,D5chi_md,eucliean,0.7outliers,0.7md.cla,0.7md.rob,0.7chi_rd,0.7chi_md,boolean_euc,boolean_clr,boolean_pc,RD_re,PC1_ILR5,PC2_ILR5,Cu0,As0,Pb0,Zn0,Ni0,Cd0,Cr0,Hg0,F0,Cu_DL,As_DL,Pb_DL,Zn_DL,Ni_DL,Cd_DL,Cu_log,As_log,Pb_log,Zn_log,Ni_log,Cd_log,Cu_MLE,As_MLE,Pb_MLE,Zn_MLE,Ni_MLE,Cd_MLE,Cu_ROS,As_ROS,Pb_ROS,Zn_ROS,Ni_ROS,Cd_ROS,Cu_ALR,As_ALR,Pb_ALR,Zn_ALR,Ni_ALR,Cd_ALR,Cu_ILR,As_ILR,Pb_ILR,Zn_ILR,Ni_ILR,Cd_ILR,z.1,z.2,z.3,z.4,z.5,Cu_CLR,As_CLR,Pb_CLR,Zn_CLR,Ni_CLR,Cd_CLR,ilr.Cu,ilr.As,ilr.Pb,ilr.Zn,ilr.Ni,ilr.Cd,Nigthlight,Altitude,LC7
1,2019,1,953162.7444,1956368.641,1,2,0,1,0,0,0,0,FALSE,10.87450021,0.818925831,1,1.45178169,1.738882292,0.303669974,0.165944785,13.65726061,FALSE,1.45178169,1.676759123,0.270984019,0.165944785,-1,-1,1,1.738882292,1.488457927,0.866276263,28.3,5.07,36.2,130.7,8.4,0.29,0,0,0,28.3,5.07,36.2,130.7,8.4,0.29,3.342861805,1.623340818,3.589059119,4.872904621,2.128231706,-1.237874356,28.3,5.07,36.2,130.7,8.4,0.29,28.3,5.07,36.2,130.7,8.4,0.29,28.3,5.07,36.2,130.7,8.4,0.29,28.3,5.07,36.2,130.7,8.4,0.29,0.052931455,4.46530241,-0.90781586,0.908112345,0.858873179,0.956441186,-0.763079801,1.2026385,2.486484002,-0.258188913,-3.624294975,1.047728825,-0.83591204,1.31742447,2.723806754,-0.282831783,-3.970216225,10,104,4
2,2019,2,952444.3511,1954556.868,1,2,0,1,0,0,0,0,FALSE,13.63143116,0.923785166,1,2.245271393,2.627400912,0.772063147,0.589132461,13.85916143,FALSE,2.245271393,2.549725852,0.739535687,0.589132461,1,-1,1,2.627400912,2.375126432,1.254527777,36.9,5.39,49.3,180.7,7.1,0.51,0,0.21,0,36.9,5.39,49.3,180.7,7.1,0.51,3.608211551,1.684545385,3.897924081,5.196838198,1.960094784,-0.673344553,36.9,5.39,49.3,180.7,7.1,0.51,36.9,5.39,49.3,180.7,7.1,0.51,36.9,5.39,49.3,180.7,7.1,0.51,36.9,5.39,49.3,180.7,7.1,0.51,0.477065074,4.262704678,-0.91847098,0.897825995,1.165394542,0.99583331,-0.927832856,1.28554584,2.584459957,-0.652283457,-3.285722794,1.090880735,-1.01638997,1.408244911,2.831134035,-0.714540726,-3.599328984,10,177,3
3,2019,3,954943.4696,1950632.532,1,1,0,1,0,0,0,0,FALSE,16.81904559,0.962659847,1,1.137728448,1.263366516,0.098278823,0.064495809,13.38114808,FALSE,1.137728448,1.238901605,0.090989758,0.064495809,-1,-1,-1,-1.263366516,-0.181445653,-0.30223607,48.6,8.43,43.9,139.1,31.2,0.29,0,0.08,0,48.6,8.43,43.9,139.1,31.2,0.29,3.883623531,2.131796772,3.78191432,4.935193099,3.440418095,-1.237874356,48.6,8.43,43.9,139.1,31.2,0.29,48.6,8.43,43.9,139.1,31.2,0.29,48.6,8.43,43.9,139.1,31.2,0.29,48.6,8.43,43.9,139.1,31.2,0.29,-0.806945749,4.569464381,-0.815491245,1.249422697,0.313393569,1.061111621,-0.690715138,0.95940241,2.112681189,0.617906185,-4.060386266,1.162389541,-0.756640524,1.050972683,2.314326288,0.676882312,-4.4479303,10,155,3
4,2019,4,955598.2092,1951870.259,1,2,0,2,1,1,0,1,TRUE,17.57131114,0.968797954,1,3.810013465,4.525373501,0.998984269,0.987357531,12.52612513,TRUE,3.810013465,4.345478773,0.997979159,0.987357531,-1,-1,1,4.525373501,0.05946376,0.933636548,83.5,7.78,84.2,76,17.7,0.4,0,0.56,0,83.5,7.78,84.2,76,17.7,0.4,4.424846632,2.051556338,4.433194921,4.33073334,2.87356464,-0.916290732,83.5,7.78,84.2,76,17.7,0.4,83.5,7.78,84.2,76,17.7,0.4,83.5,7.78,84.2,76,17.7,0.4,83.5,7.78,84.2,76,17.7,0.4,-0.613323687,4.32600698,0.072451279,1.304475189,1.096922016,1.558579109,-0.814711185,1.566927398,1.464465817,0.007297116,-3.782558255,1.707337871,-0.892471388,1.716482964,1.604241925,0.00799359,-4.143584963,10,36,1
5,2019,5,955476.3211,1949231.646,1,1,0,1,0,0,0,0,FALSE,12.31951141,0.881841432,1,1.582217764,1.699584501,0.282842578,0.224019029,13.27936396,FALSE,1.582217764,1.682214824,0.273801576,0.224019029,-1,-1,1,1.699584501,0.022063874,-1.727267583,48.3,4.15,24.5,138.2,30.3,0.17,0,0.1,0,48.3,4.15,24.5,138.2,30.3,0.17,3.877431561,1.423108334,3.198673118,4.928701911,3.411147713,-1.771956842,48.3,4.15,24.5,138.2,30.3,0.17,48.3,4.15,24.5,138.2,30.3,0.17,48.3,4.15,24.5,138.2,30.3,0.17,48.3,4.15,24.5,138.2,30.3,0.17,-0.961942963,4.764783664,-1.223315092,1.813586939,0.329712471,1.366247262,-1.088075965,0.687488818,2.417517612,0.899963413,-4.283141141,1.496648889,-1.1919275,0.753106268,2.648257859,0.985860525,-4.69194604,10,99,4
6,2019,6,956289.8471,1948970.48,1,2,0,1,0,0,0,0,FALSE,13.87917871,0.928388747,1,1.216647051,1.262846762,0.098120359,0.084660076,13.7378893,FALSE,1.216647051,1.257725603,0.096567384,0.084660076,1,-1,1,1.262846762,0.629715326,-1.187301706,42.1,4.72,30.7,169.2,27.7,0.25,0,0,0,42.1,4.72,30.7,169.2,27.7,0.25,3.740047741,1.5518088,3.424262655,5.131081447,3.321432413,-1.386294361,42.1,4.72,30.7,169.2,27.7,0.25,42.1,4.72,30.7,169.2,27.7,0.25,42.1,4.72,30.7,169.2,27.7,0.25,42.1,4.72,30.7,169.2,27.7,0.25,-0.58960819,4.62460921,-1.206903142,1.615790622,0.296005737,1.109657958,-1.078580983,0.793872872,2.500691665,0.691042631,-4.016684143,1.21556939,-1.181526269,0.86964416,2.739370468,0.756999274,-4.400057024,10,34,6
7,2019,7,957608.6587,1950462.966,1,2,0,1,0,0,0,0,FALSE,6.968237542,0.502813299,1,2.246835297,2.713588105,0.805024787,0.589982139,13.13063227,FALSE,2.246835297,2.619212356,0.768758907,0.589982139,-1,-1,1,2.713588105,1.720034362,1.006973086,25,2.95,25,81.7,4,0.19,0,0,0,25,2.95,25,81.7,4,0.19,3.218875825,1.08180517,3.218875825,4.403054002,1.386294361,-1.660731207,25,2.95,25,81.7,4,0.19,25,2.95,25,81.7,4,0.19,25,2.95,25,81.7,4,0.19,25,2.95,25,81.7,4,0.19,0.111951179,4.467621174,-0.837340419,0.996762633,1.29583078,1.277513495,-0.859557159,1.277513495,2.461691672,-0.555067968,-3.602093536,1.399445918,-0.941597691,1.399445918,2.696648117,-0.608046494,-3.945895768,10,83,1
8,2019,8,961950.8454,1950810.405,2,2,1,3,0,0,0,0,FALSE,5.876733259,0.369309463,-1,0.914771243,1.051412745,0.046381532,0.025373446,13.37335306,FALSE,0.914771243,1.017971955,0.040412123,0.025373446,-1,-1,1,1.051412745,0.10192332,0.08121746,14.4,3.63,19.9,76.1,8.8,0,0,0,20,14.4,3.63,19.9,76.1,8.8,0.065,2.667228207,1.289232648,2.990719732,4.332048265,2.174751721,-2.733368009,14.4,3.63,19.9,76.1,8.8,0.057410504,14.4,3.63,19.9,76.1,8.8,0.02993249,14.4,3.63,19.9,76.1,8.8,0.060628086,14.4,3.63,19.9,76.1,8.8,0.059132515,-0.668065225,5.298538893,-0.948462502,0.924075979,0.348233462,0.896227167,-0.481768391,1.219718692,2.561047225,0.403750682,-4.598975376,0.981767672,-0.527750831,1.336134883,2.805486672,0.442286712,-5.03792511,10,18,1
9,2019,9,960065.9456,1949449.541,1,1,0,1,0,0,0,0,FALSE,14.70416455,0.941176471,1,1.228804383,1.450898621,0.165581294,0.088082445,13.12919612,FALSE,1.228804383,1.394323932,0.143180789,0.088082445,-1,-1,1,1.450898621,0.119396662,-0.212151229,46.8,6.95,47.7,139.8,23.3,0.2,0,0.12,0,46.8,6.95,47.7,139.8,23.3,0.2,3.845883203,1.93874166,3.864931398,4.94021283,3.148453361,-1.609437912,46.8,6.95,47.7,139.8,23.3,0.2,46.8,6.95,47.7,139.8,23.3,0.2,46.8,6.95,47.7,139.8,23.3,0.2,46.8,6.95,47.7,139.8,23.3,0.2,-0.709279111,4.908785631,-0.760338792,1.272450009,0.493157371,1.157752447,-0.749389097,1.176800642,2.252082073,0.460322604,-4.297568669,1.268254262,-0.820914625,1.289120514,2.467032306,0.504258148,-4.707750605,10,16,1
10,2019,10,962556.2401,1947693.398,1,2,0,1,0,0,0,0,FALSE,10.76887305,0.815345269,1,0.915405916,0.965261312,0.032117798,0.025451318,13.5915301,FALSE,0.915405916,0.96498945,0.032078421,0.025451318,-1,-1,-1,-0.965261312,-0.428075778,-0.25392457,26.7,6.77,21,101.7,20.2,0.2,0,0.05,0,26.7,6.77,21,101.7,20.2,0.2,3.284663565,1.912501087,3.044522438,4.622027303,3.005682604,-1.609437912,26.7,6.77,21,101.7,20.2,0.2,26.7,6.77,21,101.7,20.2,0.2,26.7,6.77,21,101.7,20.2,0.2,26.7,6.77,21,101.7,20.2,0.2,-0.87599282,4.443956378,-1.115464388,1.006472472,0.197269329,0.908003718,-0.464158761,0.66786259,2.245367456,0.629022757,-3.98609776,0.994668237,-0.508460447,0.731606812,2.459676811,0.689059906,-4.366551319,10,19,6
