Year,Number,Name,Purpose,Address,Landcat,Area,Cd,Cu,As,Hg,Pb,Cr_six,Zn,Ni,F,Organicp,PCBS,CN,Penole,Benzen,Toluen, Ethylbenzene,Xylene,TPH,TCE,PCE,Benzoapyrene,pH,XX,YY,X,Y
2010,SUNA02,탑골공원,없음,서울시 중구 종로2가 38-1,공원,517819,1.04,11.5,4.13,0,30.2,0,42.2,7.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,126.999,37.571,955755.587,1952485.232
2010,SANA08,한남용산,없음,서울시 용산구 한남동 726-1(한남초교),학교용지,17731,1.55,30.7,3.7,0,73.4,0,229,9.9,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,127.005,37.539,956291.664,1948970.79
2010,SGNA01,뚝섬성동,없음,서울시 광진구 자양동 뚝섬지구,체육용지,193164,1.46,21.9,4.77,0,30.4,0,93,12.6,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,127.075,37.532,962458.471,1948209.104
2010,SANA06,금호성동,없음,서울시 성동구 금호동2가 511(금호초교),학교용지,15558,1.19,5.9,3.3,0.01,39.2,0,60.6,4.2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,127.02,37.553,957604.697,1950466.594
2010,SCNA01,동이로군자,없음,서울시 성동구 송정동 73 (난지중랑물재생센터),도로,8501,1.49,23.6,4,0,37.1,0,80.9,13.4,336,NA,NA,0,NA,0,0,0,0,0,0,0,NA,7.9,127.069,37.556,961958.822,1950818.258
2010,SUNA03,어린이대공원,없음,서울시 광진구 능동 189,공원,593241,2.91,20.1,7.5,0,36.6,0,81.6,25,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,127.081,37.554,962989.117,1950568.724
2010,SKNA27,광진광장,없음,서울시 광진구 광장동 145-8 (광장아파트),대지,125531,2.97,37.3,6.5,0,53.8,0,109,36.2,384,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,8.1,127.107,37.55,965253.577,1950197.905
2010,SLNA01,드림랜드,없음,서울시 강북구 번동 산28-6,유원지,347971,0.96,10.3,2.97,0,29.4,0,59.1,5.9,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,127.039,37.627,959327.048,1958680.01
2010,SMNA02,중랑신내배,없음,서울시 중랑구 신내동 258-1 (기식이네농원),과수원,16529,2.64,28.7,3.33,0,39.8,0,78.8,25.2,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,127.106,37.62,965222.29,1957896.911
2010,SANA09,마포마포,없음,서울시 마포구 도화2동 347-5(마포초교),학교용지,15723,1.74,23.2,3.1,0,28.3,0,58.2,17.4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,126.95,37.54,951446.165,1949056.378
2010,SONA05,서울도봉,없음,서울시 도봉구 도봉동 산24 (원도봉산-도봉공원),임야,9.9,1.46,18.8,5.3,0,38.9,0,81.9,9.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,127.028,37.688,958424.047,1965496.849
2010,SANA04,도봉도봉,없음,서울시 도봉구 도봉동 산75 (도봉초교),학교용지,13480,0.87,11.2,2.77,0,23.8,0,59.5,4.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,127.035,37.679,958992.602,1964460.77
2010,SKNA25,마포도화,없음,서울시 마포구 도화1동 550 (마포삼성),대지,44278,2.43,39.1,4.83,0.03,51.1,0,120,28.4,248,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,7.7,126.95,37.54,951446.165,1949056.378
2010,SKNA24,도봉상계,없음,서울시 노원구 상계1동 1110 (상계주공1단지),대지,20309,0.96,10.5,2.73,0,28.6,0,77.5,5.3,300,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,6.9,127.053,37.677,960621.775,1964298.101
2010,SKNA22,양천목동,없음,서울시 양천구 목동 신시가지5단지 (목동5단지),대지,224794,2.07,37.4,3,0,40.4,0,99.3,23.7,380,NA,NA,0,NA,0,0,0,0,11,NA,NA,NA,6.2,126.876,37.537,944855.975,1948789.712
2010,SENA01,서울강서,없음,서울시 강서구 과해동 274-2 (김포공항),잡종지,7.6,2.01,17.4,3.07,0,40.5,0,94.6,6.9,28,NA,0,0,0,0,0,0,0,69,0,0,NA,6.3,126.777,37.564,936186.959,1951875.398
2010,SSNA01,강서개화,없음,서울시 강서구 개화동 13,전,3065,3.03,37.1,10.5,0,44,0,85.3,29.4,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,126.799,37.601,938159.014,1955961.728
2010,SKNA23,강서방화,없음,서울시 강서구 방화동 852 (방화12단지),대지,60272,1.48,55.6,5.97,0,77.7,0,106.7,13.3,29,NA,NA,0,NA,0,0,0,0,91,NA,NA,NA,8.8,126.807,37.571,938815.91,1952592.854
2010,SKNA26,영등포여의도,없음,서울시 영등포구 여의도동 42 (여의도한양),대지,10551,1.67,28.1,4.93,0,41.6,0,90.1,17.3,306,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,7.2,126.932,37.522,949847.239,1947066.981
2010,SANA07,신정강서,없음,서울시 강서구 화곡동 869(신정초교),학교용지,5925,2.19,18.9,4.83,0.03,31.9,0,78,17.9,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,126.854,37.534,942952.156,1948458.752
2010,SANA03,당산영등포,없음,서울시 영등포구 양평4가 323(당산초교),학교용지,17226,2.51,24,9.17,0.01,38.9,0,84.3,22.7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,126.896,37.54,946658.79,1949084.148
2010,SANA05,남성관악,없음,서울시 관악구 사당3동 산24(남성초교),학교용지,7130,1.45,17,4.6,0,20.8,0,49.4,10.4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,126.951,37.465,951435.639,1940836.051
2010,SPNA31,영등포공단,없음,서울시 구로구 온수동 100-26  (공단본부),공장용지,1041,4.33,221.9,4.53,0,135.8,0,408.6,72.8,247,NA,0,0,0,0,0,0,0,73,0,0,NA,6.9,126.817,37.492,939608.255,1943886.634
2010,SGNA02,잠실송파,없음,서울시 송파구 잠실동 시민공원,체육용지,8738,1.39,14.2,4.73,0,21.2,0,56.8,12.6,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,127.085,37.511,963342.445,1945854.235
2010,SFNA01,양재천서초,없음,서울시 서초구 양재2동 261-23 (마방공원),하천부지,7680,2.36,20.9,2.7,0,28.7,0,63.4,21.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,127.042,37.477,959534.79,1942119.292
2010,SKNA21,강남일원,없음,서울시 강남구 일원동 689 (일원현대),대지,42975,2.12,35,2.17,0,26.5,0,70.8,15.7,324,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,6.6,127.077,37.49,962645.989,1943500.336
2010,SANA01,언주강남,없음,서울시 강남구 도곡동 922(언주초교),학교용지,12976,2.47,15.4,7.57,0,30.4,0,60.1,24.3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,127.037,37.487,959077.668,1943145.78
2010,SGNA24,올림픽경기장,없음,서울시 송파구 방이동 88-2,체육용지,1487610,3.78,44.5,7.77,0,37.2,0,91.3,54.4,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,127.126,37.518,966913.308,1946561.836
2010,SANA02,삼전송파,없음,서울시 송파구 삼전동 63(삼전초교),학교용지,13882,1.98,17.5,9.8,0.01,35.5,0,70.2,13.3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,127.093,37.501,963988.173,1944758.747
2010,SKNA20,강동방이,없음,서울시 송파구 방이동 89 (올림픽선수촌),대지,727276,2.66,22.3,20.5,0,47.5,0,76.8,20,335,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,6.4,127.136,37.518,967859.937,1946558.645
2010,PANA03,부산진초등,없음,부산시 진구 범천2동 1010,학교용지,220000,0.07,7.8,1.46,0.11,21.2,0,61.9,5.6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,129.061,35.212,1142052.223,1691802.08
2010,SUNA10,올림픽공원,없음,서울시 송파구 방이동 88,공원,1412494,1.61,13.1,4.63,0,24.1,0,56.1,12.2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,127.116,37.521,966102.079,1946975.153
2010,PANA06,남부민초등,없음,부산시 서구 남부민1동 76,학교용지,80163,0,2.1,1.26,0,6.8,0,23.6,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,129.023,35.09,1138805.432,1678266.606
2010,PUNA01,용두산공원,없음,부산시 중구 광복동 2가 1-2,공원,82645,0,52.7,0.84,0.23,47,0.9,188.8,23.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,129.032,35.101,1139659.164,1679448.071
2010,SUNA01,석촌호수,없음,서울시 송파구 잠실동 47,공원,385311,2.79,28.5,3.2,0.02,32.9,3.2,99.2,19.2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,127.102,37.509,964852.488,1945575.182
2010,PKNA01,범천,없음,부산시 진구 범천동 864,대지,65215,0.43,33.4,0.63,0.08,55,0,165.9,5,89,NA,NA,0,NA,0,0,0,0,90,NA,NA,NA,7.5,129.061,35.212,1142052.223,1691802.08
2010,PLNA03,태종대유원지,없음,부산시 영도구 동삼2동 산 29-1,유원지,2636317,0.13,4.6,0.38,0.1,11.4,1.5,33.2,14.6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,129.091,35.058,1145099.846,1674832.769
2010,PKNA02,럭키동래,없음,부산시 동래구 온천2동 럭키동래(아) 10동,대지,2060,0.36,70.8,1.04,0.05,49.6,2.1,140.5,14.2,74,NA,NA,0,NA,0,0,0,0,40,NA,NA,NA,7,129.066,35.213,1142540.255,1692014.154
2010,PLNA02,성지곡유원지,없음,부산시 진구 초읍동 수영장옆,유원지,134634,0.32,14.2,0.48,0.05,21.2,0,71.8,7.6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,129.061,35.212,1142052.223,1691802.08
2010,PENA02,동일자동차,없음,부산시 동래구 수안동 111-2(동일자동차학원),잡종지,2069,0.49,11.1,0.59,0.01,46.7,0,121.6,13.8,134,NA,0,0,0,0,0,0,0,42,0,0,NA,6.5,129.086,35.199,1144342.099,1690500.768
2010,PUNA07,금강공원,없음,부산시 동래구 온천동 산 13-3,공원,2810,0,16.1,0.28,0.02,24.2,0,91.4,28.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,129.075,35.223,1143349.939,1693058.674
2010,PANA08,봉학초등,없음,부산시 영도구 청학1동 389,학교용지,3590,0.28,117.8,8.35,0.11,83.6,2.4,283.6,11.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,129.055,35.095,1141750.606,1678895.06
2010,PANA02,내성초등,없음,부산시 동래구 복천동 72,학교용지,2668,0.95,12.4,5.31,0,23.9,0,220.1,28.2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,129.089,35.204,1144687.02,1691049.403
2010,PGNA06,사직운동장,없음,부산시 동래구 사직동 930-1(야구장 정문 왼쪽),체육용지,2970,0.37,22.3,0.46,0.2,23.3,0,101.1,11.9,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,129.062,35.192,1142242.952,1689606.031
2010,PANA04,구포초등,없음,부산시 북구 구포2동 725,학교용지,2208,0.06,20.9,7.53,0.1,22.5,0,60.4,6.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,129.001,35.203,1136632.878,1690803.171
2010,PANA05,장림초등,없음,부산시 사하구 장림2동 182,학교용지,3282,0.03,20.5,1.41,0.04,20.6,2,68,6.6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,128.976,35.082,1134576.491,1677268.217
2010,PSNA03,부산화명,없음,부산시 북구 화명동 17,전,1724,0,17.8,0.3,0.02,17.2,0.9,136.9,33.4,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,129.047,35.256,1140772.588,1696694.187
2010,PENA01,북부자동차,없음,부산시 북구 구포2동 1078-8(북부자동차학원),잡종지,2975,0.17,12.5,0.43,0.02,19.6,0,73.1,2.6,171,NA,0,0,0,0,0,0,0,60,0,0,NA,4.5,128.993,35.199,1135883.328,1690331.265
2010,PKNA03,덕천,없음,부산시 북구 덕천동 365-11,대지,21846,0.52,61.7,0.4,0.02,42.7,0,128.7,14.7,79,NA,NA,0,NA,0,0,0,0,42,NA,NA,NA,7.4,129.021,35.216,1138432.573,1692192.884
2010,PDNA05,구포역NA부산,없음,부산시 북구 구포2동 1010,철도용지,2645,0.23,8.6,0.6,0.02,14.6,0,38.4,3.3,89,NA,NA,0,NA,0,0,0,0,48,NA,NA,NA,6,129,35.205,1136549.543,1691002.571
2010,PENA04,서부산자동차,없음,부산시 사하구 하단2동 478(서부산자동차학원),잡종지,440,0.17,17.2,0.67,0.02,30.4,0.6,117.2,20.7,130,NA,0,0,0,0,0,0,0,65,0,0,NA,6.8,128.962,35.113,1133235.281,1680749.356
2010,PUNA03,동백공원,없음,부산시 해운대구 우1동 737,공원,48203,0,25.5,0.65,0.15,51.5,1.2,128.7,33.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,129.154,35.156,1150647.971,1685772.777
2010,PANA01,청룡초등,없음,부산시 금정구 청룡동 46,학교용지,2372,0.27,17.9,4.41,0.03,28.5,0,146.8,45.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,129.092,35.273,1144785.08,1698629.803
2010,PPNA09,장림산단1,없음,부산시 사하구 다대동 1521-3 명보기업㈜,공장용지,9124,0,85.6,0.51,0.03,105.6,0,174,30.2,108,NA,0,0,0,0,0.1,0,0,78,0,0,NA,7.2,128.959,35.056,1133034.687,1674405.102
2010,PGNA04,신평레포츠,없음,부산시 사하구 신평2동 651-9(레포츠체육공원),체육용지,112066,0.19,11.4,0.48,0.02,19.5,0,71.6,5.1,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,128.96,35.093,1133055.342,1678537.72
2010,PGNA01,부산칸트리,없음,부산시 금정구 노포동 산 6 부산칸트리클럽 5홀,체육용지,13200,0.18,8.9,0.27,0.07,14.7,0,45.2,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,129.086,35.3,1144201.978,1701658.408
